rewards,lengths,energy,recharges,targets
-5.848312011718750000e+03,1.130000000000000000e+02,4.480000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.019823242187500000e+03,1.170000000000000000e+02,4.640000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00
-1.065834472656250000e+04,1.270000000000000000e+02,5.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.177005577087402344e+01,5.800000000000000000e+01,2.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-8.901934570312500000e+03,1.300000000000000000e+02,5.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.182705566406250000e+03,1.280000000000000000e+02,5.080000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.124532714843750000e+03,1.180000000000000000e+02,4.680000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.368781250000000000e+03,1.230000000000000000e+02,4.880000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-9.558909179687500000e+03,1.330000000000000000e+02,5.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.841119628906250000e+03,1.300000000000000000e+02,5.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.041210449218750000e+03,1.100000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.762891601562500000e+03,1.080000000000000000e+02,4.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.685022460937500000e+03,1.100000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.443732421875000000e+03,1.050000000000000000e+02,4.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-8.425018554687500000e+03,1.070000000000000000e+02,4.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.023952832031250000e+04,1.140000000000000000e+02,4.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.328879394531250000e+03,1.100000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.265595703125000000e+03,1.090000000000000000e+02,4.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-8.108800781250000000e+03,1.090000000000000000e+02,4.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.419385742187500000e+03,1.080000000000000000e+02,4.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.793347167968750000e+03,1.080000000000000000e+02,4.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
